,major_name,major_description,cip_family,department,in_state_min_tuition,in_state_max_tuition,out_of_state_min_tuition,out_of_state_max_tuition,grad_in_state_min_tuition,grad_in_state_max_tuition,grad_out_of_state_min_tuition,grad_out_of_state_max_tuition,fees
1,Agricultural Business and Management.,Instructional content for this group of programs is defined in codes 01.0101 - 01.0199.,1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
6,Agricultural Business Technology.,"A program that prepares individuals to perform specialized support functions related to agricultural business offices and operations and to operate agricultural office equipment, software, and information systems.  Includes instruction in basic agricultural business principles, office management, equipment operation, standard software, and database management.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
2,Agribusiness/Agricultural Business Operations.,"A program that prepares individuals to manage agricultural businesses and agriculturally related operations within diversified corporations.  Includes instruction in agriculture, agricultural specialization, business management, accounting, finance, marketing, planning, human resources management, and other managerial responsibilities.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
24,Applied Horticulture and Horticultural Business Services.,Instructional content for this group of programs is defined in codes 01.0601 - 01.0699.,1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
67,Wildlife and Wildlands Science and Management.,Instructional content is defined in code 03.0601.,3,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
48,Range Science and Management.,"A program that focuses on the scientific study of rangelands, arid regions, grasslands, and other areas of low productivity, as well as the principles of managing such resources for maximum benefit and environmental balance.  Includes instruction in livestock management, wildlife biology, plant sciences, ecology, soil science, and hydrology.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
60,Fishing and Fisheries Sciences and Management.,Instructional content is defined in code 03.0301.,3,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
26,Greenhouse Operations and Management.,"A program that prepares individuals to produce, store, and deliver plant species in controlled indoor environments for wholesale, commercial, research, or other purposes.  Includes instruction in applicable principles of plant science; climate, irrigation, and nutrition control equipment operation and maintenance; facilities management; inventory control; safety procedures; and personnel supervision.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
3,Agricultural Economics.,"A program that focuses on the application of economics to the analysis of resource allocation, productivity, investment, and trends in the agricultural sector, both domestically and internationally.  Includes instruction in economics and related subfields as well as applicable agricultural fields.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
19,Agricultural and Domestic Animal Services.,Instructional content for this group of programs is defined in codes 01.0504 - 01.0599.,1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
