institution name,longitude,latitude,In-state min tuition,In-state max tuition,Out-of-state min tuition ,Out-of-state max tuition,Undergraduate enrollment,Graduate enrollment,Graduation rate,is_public,fees,location,aboutText
Alabama A & M University,-86.568502,34.783368,8610.0,10128.0,17220.0,20160.0,5845.0,769.0,29.0,True,1414.0,"Normal, Alabama","A public university located in Normal, Alabama"
University of Alabama at Birmingham,-86.799345,33.505697,8424.0,8832.0,20556.0,21864.0,12382.0,8778.0,62.0,True,0.0,"Birmingham, Alabama","A public university located in Birmingham, Alabama"
Amridge University,-86.17401,32.362609,9480.0,11700.0,9480.0,11700.0,226.0,410.0,40.0,False,990.0,"Montgomery, Alabama","A private university located in Montgomery, Alabama"
University of Alabama in Huntsville,-86.640449,34.724557,10120.0,10632.0,23012.0,24430.0,6851.0,1892.0,62.0,True,1758.0,"Huntsville, Alabama","A public university located in Huntsville, Alabama"
Alabama State University,-86.295677,32.364317,7416.0,8328.0,14832.0,16656.0,3322.0,548.0,30.0,True,2920.0,"Montgomery, Alabama","A public university located in Montgomery, Alabama"
University of Alabama System Office,-87.529594,33.207015,9929.360655737704,10845.75,14105.22950819672,15730.4375,3323.9736842105262,705.9736842105264,44.22580645,True,,"Tuscaloosa, Alabama","A public university located in Tuscaloosa, Alabama"
The University of Alabama,-87.545978,33.211875,11100.0,11100.0,32400.0,32400.0,33435.0,6187.0,74.0,True,800.0,"Tuscaloosa, Alabama","A public university located in Tuscaloosa, Alabama"
Central Alabama Community College,-85.945266,32.92478,3810.0,10845.75,7620.0,15730.4375,1910.0,0.0,44.22580645,True,1230.0,"Alexander City, Alabama","A public university located in Alexander City, Alabama"
Athens State University,-86.964698,34.806793,7530.0,8688.0,15060.0,15072.0,2531.0,424.0,44.22580645,True,2310.0,"Athens, Alabama","A public university located in Athens, Alabama"
Auburn University at Montgomery,-86.177544,32.36736,8118.0,8568.0,18252.0,19224.0,3407.0,1782.0,36.0,True,868.0,"Montgomery, Alabama","A public university located in Montgomery, Alabama"
Auburn University,-85.488258,32.599378,10692.0,10704.0,32076.0,32112.0,26874.0,6141.0,79.0,True,1832.0,"Auburn, Alabama","A public university located in Auburn, Alabama"
Birmingham-Southern College,-86.850552,33.513774,8400.0,21500.0,8400.0,21500.0,713.0,18.0,64.0,False,1250.0,"Birmingham, Alabama","A private university located in Birmingham, Alabama"
Chattahoochee Valley Community College,-85.031485,32.42391,3810.0,10845.75,7620.0,15730.4375,1712.0,0.0,44.22580645,True,1230.0,"Phenix City, Alabama","A public university located in Phenix City, Alabama"
South University-Montgomery,-86.216488,32.342684,15732.0,16056.0,15732.0,16056.0,302.0,17.0,51.84767221,False,720.0,"Montgomery, Alabama","A private university located in Montgomery, Alabama"
Enterprise State Community College,-85.836956,31.297496,3810.0,10845.75,7620.0,15730.4375,2248.0,0.0,44.22580645,True,1230.0,"Enterprise, Alabama","A public university located in Enterprise, Alabama"
Coastal Alabama Community College,-87.778193,30.851343,3810.0,10845.75,7620.0,15730.4375,6791.0,0.0,44.22580645,True,1170.0,"Bay Minette, Alabama","A public university located in Bay Minette, Alabama"
Faulkner University,-86.21641,32.384181,15125.0,21930.0,15125.0,21930.0,1793.0,1140.0,37.0,False,1990.0,"Montgomery, Alabama","A private university located in Montgomery, Alabama"
Gadsden State Community College,-85.991438,33.994001,3048.0,10845.75,6096.0,15730.4375,4728.0,0.0,44.22580645,True,984.0,"Gadsden, Alabama","A public university located in Gadsden, Alabama"
New Beginning College of Cosmetology,-86.196931,34.27871,9929.360655737704,10845.75,14105.22950819672,15730.4375,39.0,0.0,44.22580645,False,,"Albertville, Alabama","A private university located in Albertville, Alabama"
George C Wallace Community College-Dothan,-85.465836,31.315274,3810.0,10845.75,7620.0,15730.4375,4010.0,0.0,44.22580645,True,1110.0,"Dothan, Alabama","A public university located in Dothan, Alabama"
George C Wallace State Community College-Hanceville,-86.781935,34.072439,3810.0,10845.75,7620.0,15730.4375,6023.0,0.0,44.22580645,True,1170.0,"Hanceville, Alabama","A public university located in Hanceville, Alabama"
George C Wallace State Community College-Selma,-87.013294,32.445917,3810.0,10845.75,7620.0,15730.4375,1935.0,0.0,44.22580645,True,870.0,"Selma, Alabama","A public university located in Selma, Alabama"
